attribute_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance
Audits,1,Audits,,,,,,
Audit,2,Audits.Audit,,,,,,
Sites,3,Audits.Audit.Sites,,,,,,
Site,4,Audits.Audit.Sites.Site,,,,,,
ClimateZoneType,5,Audits.Audit.Sites.Site.ClimateZoneType,83d301d1-3e81-4213-a3a8-c09d1e75337a,Climate Zone Type,Premises,"The climate zone type, based on the organization defining it. Many different organizations have implemented different climate zone definitions based on their needs. The list below represents the current list. This list can be added to over time based on the collaborative BEDES development process.",https://bedes.lbl.gov/node/83d301d1-3e81-4213-a3a8-c09d1e75337a,0.9764705882352941
ASHRAE,6,Audits.Audit.Sites.Site.ClimateZoneType.ASHRAE,,,,,,
ClimateZone,7,Audits.Audit.Sites.Site.ClimateZoneType.ASHRAE.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333
EnergyStar,8,Audits.Audit.Sites.Site.ClimateZoneType.EnergyStar,ba39a9a6-84fb-4bca-bfc2-77cc2954e243,Energy Software Tool,Global Terms,A software program that is used in some fashion to calculate the energy consumption of a building,https://bedes.lbl.gov/node/ba39a9a6-84fb-4bca-bfc2-77cc2954e243,0.9
ClimateZone,9,Audits.Audit.Sites.Site.ClimateZoneType.EnergyStar.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333
CaliforniaTitle24,10,Audits.Audit.Sites.Site.ClimateZoneType.CaliforniaTitle24,,,,,,
ClimateZone,11,Audits.Audit.Sites.Site.ClimateZoneType.CaliforniaTitle24.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333
IECC,12,Audits.Audit.Sites.Site.ClimateZoneType.IECC,,,,,,
ClimateZone,13,Audits.Audit.Sites.Site.ClimateZoneType.IECC.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333
BuildingAmerica,14,Audits.Audit.Sites.Site.ClimateZoneType.BuildingAmerica,,,,,,
