attribute_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance
ClimateZone,4597,Audits.Audit.Sites.Site.ClimateZoneType.CBECS.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333
DOE,4598,Audits.Audit.Sites.Site.ClimateZoneType.DOE,,,,,,
ClimateZone,4599,Audits.Audit.Sites.Site.ClimateZoneType.DOE.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333
Other,4600,Audits.Audit.Sites.Site.ClimateZoneType.Other,,,,,,
ClimateZone,4601,Audits.Audit.Sites.Site.ClimateZoneType.Other.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333
Address,4602,Audits.Audit.Sites.Site.Address,,,,,,
StreetAddressDetail,4603,Audits.Audit.Sites.Site.Address.StreetAddressDetail,,,,,,
Simplified,4604,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Simplified,,,,,,
StreetAddress,4605,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Simplified.StreetAddress,,,,,,
StreetAdditionalInfo,4606,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Simplified.StreetAdditionalInfo,,,,,,
Complex,4607,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex,,,,,,
StreetNumberPrefix,4608,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetNumberPrefix,,,,,,
StreetNumberNumeric,4609,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetNumberNumeric,,,,,,
StreetNumberSuffix,4610,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetNumberSuffix,,,,,,
StreetDirPrefix,4611,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetDirPrefix,,,,,,
StreetName,4612,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetName,81d08d4f-64e0-47f2-9615-2654eea7b288,Street Name,Contact,"The portion of the complete street name that identifies the particular thoroughfare (as opposed to the Street Name Pre Modifier, Street Name Post Modifier, Street Name Pre Directional, Street Name Post Directional, Street Name Pre Type, Street Name Post Type, and Separator Element (if any) in the complete street name.)",https://bedes.lbl.gov/node/81d08d4f-64e0-47f2-9615-2654eea7b288,0.9818181818181818
StreetAdditionalInfo,4613,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetAdditionalInfo,,,,,,
StreetSuffix,4614,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetSuffix,,,,,,
StreetSuffixModifier,4615,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetSuffixModifier,,,,,,
StreetDirSuffix,4616,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetDirSuffix,,,,,,
SubaddressType,4617,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.SubaddressType,aeae978b-c81e-4318-b6af-8ac8da74dd51,Subaddress Type,Contact,The type of subaddress to which the associated Subaddress Identifier applies.,https://bedes.lbl.gov/node/aeae978b-c81e-4318-b6af-8ac8da74dd51,0.9866666666666667
SubaddressIdentifier,4618,Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.SubaddressIdentifier,61ba6f05-7526-4de3-8e86-467d6262c98e,Subaddress Identifier,Contact,"The letters, numbers, words, or combination thereof used to distinguish different subaddresses of the same type when several occur within the same feature. For example, in subaddress ""Building 4"", the Subaddress Identifier = ""4"". Subaddress Identifier can also be parts of a building, for example ""Penthouse"" or ""Mezzanine"".",https://bedes.lbl.gov/node/61ba6f05-7526-4de3-8e86-467d6262c98e,0.9904761904761905
City,4619,Audits.Audit.Sites.Site.Address.City,c208fe09-422d-4031-abf6-073aa7bda8c5,City,Contact,City,https://bedes.lbl.gov/node/c208fe09-422d-4031-abf6-073aa7bda8c5,1.0
State,4620,Audits.Audit.Sites.Site.Address.State,9a8423a7-0729-4eca-b6b4-4ec39a1f4a5b,State,Contact,State,https://bedes.lbl.gov/node/9a8423a7-0729-4eca-b6b4-4ec39a1f4a5b,1.0
PostalCode,4621,Audits.Audit.Sites.Site.Address.PostalCode,,,,,,
PostalCodePlus4,4622,Audits.Audit.Sites.Site.Address.PostalCodePlus4,,,,,,
County,4623,Audits.Audit.Sites.Site.Address.County,be811d87-d5db-4e1c-84ec-ccbbccdb852c,County,Contact,County,https://bedes.lbl.gov/node/be811d87-d5db-4e1c-84ec-ccbbccdb852c,1.0
Country,4624,Audits.Audit.Sites.Site.Address.Country,be811d87-d5db-4e1c-84ec-ccbbccdb852c,County,Contact,County,https://bedes.lbl.gov/node/be811d87-d5db-4e1c-84ec-ccbbccdb852c,0.9714285714285714
FloorAreas,4625,Audits.Audit.Sites.Site.FloorAreas,,,,,,
FloorArea,4626,Audits.Audit.Sites.Site.FloorAreas.FloorArea,,,,,,
FloorAreaType,4627,Audits.Audit.Sites.Site.FloorAreas.FloorArea.FloorAreaType,,,,,,
FloorAreaCustomName,4628,Audits.Audit.Sites.Site.FloorAreas.FloorArea.FloorAreaCustomName,,,,,,
FloorAreaValue,4629,Audits.Audit.Sites.Site.FloorAreas.FloorArea.FloorAreaValue,,,,,,
FloorAreaPercentage,4630,Audits.Audit.Sites.Site.FloorAreas.FloorArea.FloorAreaPercentage,,,,,,
Story,4631,Audits.Audit.Sites.Site.FloorAreas.FloorArea.Story,,,,,,
UserDefinedFields,4632,Audits.Audit.Sites.Site.UserDefinedFields,,,,,,
UserDefinedField,4633,Audits.Audit.Sites.Site.UserDefinedFields.UserDefinedField,,,,,,
FieldName,4634,Audits.Audit.Sites.Site.UserDefinedFields.UserDefinedField.FieldName,,,,,,
FieldValue,4635,Audits.Audit.Sites.Site.UserDefinedFields.UserDefinedField.FieldValue,,,,,,
Contacts,4636,Audits.Audit.Contacts,,,,,,
Contact,4637,Audits.Audit.Contacts.Contact,,,,,,
ContactRole,4638,Audits.Audit.Contacts.Contact.ContactRole,,,,,,
ContactName,4639,Audits.Audit.Contacts.Contact.ContactName,028bb2ae-c261-4c5d-b247-3db21cff10ab,Contact Name,Contact,Name of the contact when not full name or company name,https://bedes.lbl.gov/node/028bb2ae-c261-4c5d-b247-3db21cff10ab,0.9833333333333333
ContactCompany,4640,Audits.Audit.Contacts.Contact.ContactCompany,,,,,,
ContactTitle,4641,Audits.Audit.Contacts.Contact.ContactTitle,03062e7b-8e40-4e16-a3d1-476a85c1fc4d,Contact Title,Contact,The title or position of the contact within their organization.,https://bedes.lbl.gov/node/03062e7b-8e40-4e16-a3d1-476a85c1fc4d,0.9846153846153847
ContactTelephoneNumbers,4642,Audits.Audit.Contacts.Contact.ContactTelephoneNumbers,,,,,,
ContactTelephoneNumber,4643,Audits.Audit.Contacts.Contact.ContactTelephoneNumbers.ContactTelephoneNumber,,,,,,
ContactTelephoneNumberLabel,4644,Audits.Audit.Contacts.Contact.ContactTelephoneNumbers.ContactTelephoneNumber.ContactTelephoneNumberLabel,,,,,,
TelephoneNumber,4645,Audits.Audit.Contacts.Contact.ContactTelephoneNumbers.ContactTelephoneNumber.TelephoneNumber,b526e5b0-78d4-4b0b-a8dc-5b8de50ce608,Telephone Number,Contact,Telephone number associated with the contact. Format: Country code (area code) NNN-NNNN.,https://bedes.lbl.gov/node/b526e5b0-78d4-4b0b-a8dc-5b8de50ce608,0.9874999999999999
ContactEmailAddresses,4646,Audits.Audit.Contacts.Contact.ContactEmailAddresses,,,,,,
ContactEmailAddress,4647,Audits.Audit.Contacts.Contact.ContactEmailAddresses.ContactEmailAddress,,,,,,
ContactEmailAddressLabel,4648,Audits.Audit.Contacts.Contact.ContactEmailAddresses.ContactEmailAddress.ContactEmailAddressLabel,,,,,,
EmailAddress,4649,Audits.Audit.Contacts.Contact.ContactEmailAddresses.ContactEmailAddress.EmailAddress,27655d45-7813-432a-901a-1dc821bc52c1,Email Address,Contact,"OrderedDict([('a', OrderedDict([('@href', 'mailto:email@serviceprovider.suffix'), ('#text', 'email@serviceprovider.suffix')])), ('#text', 'Electronic mail address with common format:')])",https://bedes.lbl.gov/node/27655d45-7813-432a-901a-1dc821bc52c1,0.9846153846153847
Address,4650,Audits.Audit.Contacts.Contact.Address,,,,,,
StreetAddressDetail,4651,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail,,,,,,
Simplified,4652,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Simplified,,,,,,
StreetAddress,4653,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Simplified.StreetAddress,,,,,,
StreetAdditionalInfo,4654,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Simplified.StreetAdditionalInfo,,,,,,
Complex,4655,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex,,,,,,
StreetNumberPrefix,4656,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetNumberPrefix,,,,,,
StreetNumberNumeric,4657,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetNumberNumeric,,,,,,
StreetNumberSuffix,4658,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetNumberSuffix,,,,,,
StreetDirPrefix,4659,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetDirPrefix,,,,,,
StreetName,4660,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetName,81d08d4f-64e0-47f2-9615-2654eea7b288,Street Name,Contact,"The portion of the complete street name that identifies the particular thoroughfare (as opposed to the Street Name Pre Modifier, Street Name Post Modifier, Street Name Pre Directional, Street Name Post Directional, Street Name Pre Type, Street Name Post Type, and Separator Element (if any) in the complete street name.)",https://bedes.lbl.gov/node/81d08d4f-64e0-47f2-9615-2654eea7b288,0.9818181818181818
StreetAdditionalInfo,4661,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetAdditionalInfo,,,,,,
StreetSuffix,4662,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetSuffix,,,,,,
StreetSuffixModifier,4663,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetSuffixModifier,,,,,,
StreetDirSuffix,4664,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.StreetDirSuffix,,,,,,
SubaddressType,4665,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.SubaddressType,aeae978b-c81e-4318-b6af-8ac8da74dd51,Subaddress Type,Contact,The type of subaddress to which the associated Subaddress Identifier applies.,https://bedes.lbl.gov/node/aeae978b-c81e-4318-b6af-8ac8da74dd51,0.9866666666666667
SubaddressIdentifier,4666,Audits.Audit.Contacts.Contact.Address.StreetAddressDetail.Complex.SubaddressIdentifier,61ba6f05-7526-4de3-8e86-467d6262c98e,Subaddress Identifier,Contact,"The letters, numbers, words, or combination thereof used to distinguish different subaddresses of the same type when several occur within the same feature. For example, in subaddress ""Building 4"", the Subaddress Identifier = ""4"". Subaddress Identifier can also be parts of a building, for example ""Penthouse"" or ""Mezzanine"".",https://bedes.lbl.gov/node/61ba6f05-7526-4de3-8e86-467d6262c98e,0.9904761904761905
City,4667,Audits.Audit.Contacts.Contact.Address.City,c208fe09-422d-4031-abf6-073aa7bda8c5,City,Contact,City,https://bedes.lbl.gov/node/c208fe09-422d-4031-abf6-073aa7bda8c5,1.0
State,4668,Audits.Audit.Contacts.Contact.Address.State,9a8423a7-0729-4eca-b6b4-4ec39a1f4a5b,State,Contact,State,https://bedes.lbl.gov/node/9a8423a7-0729-4eca-b6b4-4ec39a1f4a5b,1.0
PostalCode,4669,Audits.Audit.Contacts.Contact.Address.PostalCode,,,,,,
PostalCodePlus4,4670,Audits.Audit.Contacts.Contact.Address.PostalCodePlus4,,,,,,
County,4671,Audits.Audit.Contacts.Contact.Address.County,be811d87-d5db-4e1c-84ec-ccbbccdb852c,County,Contact,County,https://bedes.lbl.gov/node/be811d87-d5db-4e1c-84ec-ccbbccdb852c,1.0
Country,4672,Audits.Audit.Contacts.Contact.Address.Country,be811d87-d5db-4e1c-84ec-ccbbccdb852c,County,Contact,County,https://bedes.lbl.gov/node/be811d87-d5db-4e1c-84ec-ccbbccdb852c,0.9714285714285714
UserDefinedFields,4673,Audits.Audit.Contacts.Contact.UserDefinedFields,,,,,,
UserDefinedField,4674,Audits.Audit.Contacts.Contact.UserDefinedFields.UserDefinedField,,,,,,
FieldName,4675,Audits.Audit.Contacts.Contact.UserDefinedFields.UserDefinedField.FieldName,,,,,,
FieldValue,4676,Audits.Audit.Contacts.Contact.UserDefinedFields.UserDefinedField.FieldValue,,,,,,
